"Zunzingen, 08.10.2021",Data per day from: 14.09.2021 to 15.10.2021,,,,,,,,,,,,,,,,,,,,,,,
Date,First infection,Sporulations,Density of sporulation,Infections,Incubation %,IncubationEnd,IncubationPercent,Incubationend forecast,IncubationPercentForecast,Number of inf.,TMin °C,TAvg °C,TMax °C,Precipitation mm,Hours leaf moisture,Degree hours of leaf moisture,InfIdx,InfIdxColorHTML,Surface of Leaves,LeafSurfGrowing,Number of leaves,Germination,Riskcolor,DayMonth
14.09.2021,0,4,146.727272727273,9,86.22766033819,21.09.,100,,100,9,12.76,19.566736111111,27.66,0,11.833333333139,185.196666666667,!!,#FFAAAA,3866.28615382724,182.676415748353,33,1,11184895,14.09
15.09.2021,1,0,0,11,100,23.09.,100,,100,12,17.05,19.138333333333,22.74,6,18.499999999884,177.96,!!,#FFAAAA,3867.34695781159,183.731005591865,33,1,11184895,15.09
16.09.2021,1,2,300,6,100,24.09.,100,,100,7,15.29,18.268611111111,20.5,2.6,8.666666666628,157.901666666667,!!,#FFAAAA,3868.17134020213,168.796271209874,33,1,11184895,16.09
17.09.2021,7,2,143.895104895105,4,96.642780791803,25.09.,100,,100,11,10.49,15.809236111111,22.09,0,12,111.291666666667,!!,#FFAAAA,3868.68640191944,129.453080403312,34,1,11184895,17.09
18.09.2021,0,0,0,12,100,26.09.,100,,100,12,7.95,14.836527777778,23.14,0,14.666666666628,186.616666666667,!!,#FFAAAA,3874.86771793403,135.62820459126,34,1,11184895,18.09
19.09.2021,4,1,6.676363636363,17,100,27.09.,100,,100,21,9.71,12.620486111111,14.91,10,22.833333333198,170.225,!!,#FFAAAA,3875.68522174947,100.73744409612,34,1,11184895,19.09
20.09.2021,1,7,62.13986013986,15,97.006116362605,27.09.,100,,100,16,11.66,14.426180555556,17.64,1,19.333333333314,376.038333333333,!!!,red,3876.85747134474,116.421581445943,34,1,255,20.09
21.09.2021,0,4,93.839160839161,8,100,28.09.,100,,100,8,9.24,13.329722222222,18.06,0,12,165.321666666667,!!,#FFAAAA,3877.58600875719,102.618503510555,34,1,11184895,21.09
22.09.2021,0,0,0,9,91.951037935207,29.09.,100,,100,9,5.94,11.279791666667,18.89,0,16.999999999884,129.86,!!,#FFAAAA,3877.83611614526,71.154076179926,34,1,11184895,22.09
23.09.2021,0,0,0,13,100,30.09.,100,,100,13,5.32,14.155138888889,22.61,0.3,12.333333333372,173.533333333333,!!,#FFAAAA,3878.50648094057,103.527683921115,34,1,11184895,23.09
24.09.2021,0,0,0,1,100,02.10.,100,,100,1,11.37,17.647569444444,24.43,0,5.333333333256,58.771666666667,!,#FFDDDD,3879.32718222525,140.06822673416,34,1,14540287,24.09
25.09.2021,0,0,0,9,100,02.10.,100,,100,9,9.09,16.914930555556,26.62,0.2,14.666666666628,141.553333333333,!!,#FFAAAA,3879.7903633173,104.792599636331,34,1,11184895,25.09
26.09.2021,0,3,300,6,100,03.10.,100,,100,6,15,18.459166666667,23.09,4,8.666666666453,121.455,!!,#FFAAAA,3880.09289182412,105.090460553426,34,1,11184895,26.09
27.09.2021,0,0,0,0,100,,,,,0,13.92,18.481597222222,22.46,3.9,1.5,21.13,,lime,3880.20573521619,37.520111395678,34,1,65280,27.09
28.09.2021,1,2,99.734265734266,12,100,07.10.,100,,100,13,9.04,13.447291666667,17.8,0.1,19.333333333314,224.261666666667,!!!,red,3880.23043062647,9.484654350002,34,1,255,28.09
29.09.2021,0,2,45.146853146853,4,100, 92%,92.051248193304,09.10.,100,4,6.96,13.728194444444,20,0,11.33333333343,96.3,!,#FFDDDD,3880.24725213527,9.501473195122,34,1,14540287,29.09
30.09.2021,0,0,0,11,100, 82%,82.045056394757,11.10.,100,11,4.18,9.560138888889,18.12,0,17.499999999942,123.915,!!,#FFAAAA,3880.24725213527,0,34,1,11184895,30.09
