"Zunzingen, 15.12.2019",Data per day from: 21.11.2019 to 22.12.2019,,,,,,,,,,,,,,,,,,,,,,
Date,First infection,Sporulations,Density of sporulation,Infections,Incubation %,IncubationEnd,IncubationPercent,Incubationend forecast,IncubationPercentForecast,Number of inf.,TMin °C,TAvg °C,TMax °C,Precipitation mm,Hours leaf moisture,Degree hours of leaf moisture,InfIdx,InfIdxColorHTML,Surface of Leaves,Number of leaves,Germination,Riskcolor,DayMonth
21.11.2019,0,0,0,0,82.3180666226,,,,,0,-0.53,2.195625,6.68,0.1,16.499999999825,20.008333333333,,lime,3863.94312449993,34,5.099256963946,65280,21.11
22.11.2019,0,0,0,0,84.551268022592,,,,,0,1.39,5.446458333333,9.96,0,14.500000000116,50.448333333333,,lime,3863.94312449993,34,5.095977383378,65280,22.11
23.11.2019,0,0,0,0,85.814794974275,,,,,0,0.67,2.5325,4.25,0,18,64.236666666667,,lime,3863.94312449993,34,5.054893486168,65280,23.11
24.11.2019,0,0,0,0,87.587810646652,,,,,0,-0.35,3.839166666667,9.47,0,20.499999999942,41.02,,lime,3863.94312449993,34,5.091300390199,65280,24.11
25.11.2019,0,0,0,0,90.283238979491,,,,,0,3.7,6.766944444444,9.28,0.1,17.833333333314,100.911666666667,,lime,3863.94312449993,34,4.695578122632,65280,25.11
26.11.2019,0,0,0,0,96.286313992603,,,,,0,5.42,10.244583333333,16.47,0,3.499999999709,16.338333333333,,lime,3863.94312449993,34,4.395777753005,65280,26.11
27.11.2019,0,0,0,0,100,,,,,0,5.23,10.960208333333,14.28,1.3,10.666666666511,77.996666666667,,lime,3863.94312449993,34,4.195777753005,65280,27.11
28.11.2019,0,0,0,0,100,,,,,0,8.27,10.297916666667,11.86,1.9,8.499999999767,66.441666666667,,lime,3863.94312449993,34,3.910777753005,65280,28.11
29.11.2019,0,0,0,0,100,,,,,0,4.87,7.693263888889,9.98,9.6,18.333333333372,62.618333333333,,lime,3863.94312449993,34,3.814527753005,65280,29.11
30.11.2019,0,0,0,0,99.679738042642,,,,,0,-0.41,3.122430555556,6.85,0,14.499999999942,23.01,,lime,3863.94312449993,34,3.619215253005,65280,30.11
01.12.2019,0,0,0,0,100,,,,,0,0,2.308680555556,4.36,0.1,12.000000000175,17.531666666667,,lime,3863.94312449993,34,3.885074628005,65280,01.12
02.12.2019,0,0,0,0,92.103205516048,,,,,0,-3.45,0.918541666667,3.36,0,0,0,,lime,3863.94312449993,34,3.807398846755,65280,02.12
03.12.2019,0,0,0,0,92.784937226632,,,,,0,-5,-1.486666666667,5.23,0.1,3.166666666686,6.343333333333,,lime,3863.94312449993,34,3.781554120192,65280,03.12
04.12.2019,0,0,0,0,93.304366159228,,,,,0,-5.65,-2.644305555556,2,0.1,4.5,3.096666666667,,lime,3863.94312449993,34,3.773310711989,65280,04.12
05.12.2019,0,0,0,0,94.104834750883,,,,,0,-5.77,-1.036805555556,5.11,0.2,16.166666666802,8.611666666667,,lime,3863.94312449993,34,3.811834576735,65280,05.12
06.12.2019,0,0,0,0,97.820548154587,,,,,0,1.61,7.938402777778,11.71,0,2.500000000116,8.333333333333,,lime,3863.94312449993,34,3.793524563918,65280,06.12
07.12.2019,0,0,0,0,100,,,,,0,7.04,8.885,11,0.1,5.333333333256,40.055,,lime,3863.94312449993,34,3.881441357741,65280,07.12
08.12.2019,0,0,0,0,98.92143982061,,,,,0,8.86,10.662222222222,12.55,1.2,5.16666666657,47.531666666667,,lime,3863.94312449993,34,4.406413167128,65280,08.12
09.12.2019,0,0,0,0,100,,,,,0,5.22,7.414652777778,10.5,2.3,12.83333333343,38.015,,lime,3863.94312449993,34,4.564688780913,65280,09.12
10.12.2019,0,0,0,0,92.825834526151,,,,,0,-2.71,2.615,8.09,0,5.833333333314,19.506666666667,,lime,3863.94312449993,34,5.161516967425,65280,10.12
11.12.2019,0,0,0,0,94.280864009211,,,,,0,-3.75,2.345833333333,8.44,2.8,7.5,18.886666666667,,lime,3863.94312449993,34,5.503515068302,65280,11.12
12.12.2019,0,0,0,0,95.712129715456,,,,,0,-0.81,3.235138888889,6.3,0.6,3.999999999942,14.528333333333,,lime,3863.94312449993,34,5.409033495942,65280,12.12
13.12.2019,0,0,0,0,98.110736265749,,,,,0,3.86,6.018541666667,7.92,10,11.166666666395,40.206666666667,,lime,3863.94312449993,34,5.159688578146,65280,13.12
14.12.2019,0,0,0,0,100,,,,,0,5.37,8.469081632653,11.5,0.4,3.66666666657,11.288333333333,,lime,3863.94312449993,34,4.836136613721,65280,14.12
15.12.2019,0,0,0,0,100,,,,,0,9.31,12.581739130435,14.38,3.82,10.000000000116,130.99,,lime,3863.94312449993,34,4.919825841011,65280,15.12
16.12.2019,0,0,0,0,0,,,,,0,5.93,9.142916666667,12.86,0,0,0,,lime,3863.94312449993,34,4.773903534189,65280,16.12
17.12.2019,0,0,0,0,0,,,,,0,5.58,8.969166666667,13.1,0,0,0,,lime,3863.94312449993,34,4.127981227366,65280,17.12
18.12.2019,0,0,0,0,0,,,,,0,6.72,9.718333333333,13.14,0,0,0,,lime,3863.94312449993,34,4.205020073955,65280,18.12
19.12.2019,0,0,0,0,0,,,,,0,3.48,6.925,11.52,0,8.000000000058,38.36,,lime,3863.94312449993,34,4.547240939013,65280,19.12
20.12.2019,0,0,0,0,0,,,,,0,3.65,6.805,10.51,4.44,9,30.17,,lime,3863.94312449993,34,5.413536443631,65280,20.12
21.12.2019,0,0,0,0,0,,,,,0,3.75,5.952083333333,7.74,1.16,23.000000000058,164.01,,lime,3863.94312449993,34,0,65280,21.12
22.12.2019,0,0,0,0,0,,,,,0,3.83,6.334,9.11,7.21,6.000000000175,176.83,,white,0,0,0,0,22.12
